Temperature Data for Maldives (derived from WMO normals and GSA data);;;;;;;
;;;;
Provider;Generated from WMO Climate Normals 1981-2010;;;;;;;;;;
2024.0;3.0;21.0;14.0;31.47;31.47;30.47;32.47;2;27.5;80;4.5
2024.0;3.0;21.0;15.0;31.03;31.03;30.03;32.03;2;27.0;80;4.5
2024.0;3.0;21.0;16.0;30.99;30.99;29.99;31.99;2;27.0;80;4.5
2024.0;3.0;21.0;17.0;32.04;32.04;31.04;33.04;2;28.0;80;4.5
2024.0;3.0;21.0;18.0;31.33;31.33;30.33;32.33;2;27.3;80;4.5
2024.0;3.0;21.0;19.0;31.38;31.38;30.38;32.38;2;27.4;80;4.5
2024.0;3.0;21.0;20.0;30.47;30.47;29.47;31.47;2;26.5;80;4.5
2024.0;3.0;21.0;21.0;30.19;30.19;29.19;31.19;2;26.2;80;4.5
2024.0;3.0;21.0;22.0;29.03;29.03;28.03;30.03;2;25.0;80;4.5
2024.0;3.0;21.0;23.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;3.0;21.0;24.0;28.9;28.9;27.90;29.90;2;24.9;80;4.5
2024.0;3.0;22.0;1.0;28.07;28.07;27.07;29.07;2;24.1;80;4.5
2024.0;3.0;22.0;2.0;27.36;27.36;26.36;28.36;2;23.4;80;4.5
2024.0;3.0;22.0;3.0;27.56;27.56;26.56;28.56;2;23.6;80;4.5
2024.0;3.0;22.0;4.0;27.77;27.77;26.77;28.77;2;23.8;80;4.5
2024.0;3.0;22.0;5.0;27.18;27.18;26.18;28.18;2;23.2;80;4.5
2024.0;3.0;22.0;6.0;28.83;28.83;27.83;29.83;2;24.8;80;4.5
2024.0;3.0;22.0;7.0;28.21;28.21;27.21;29.21;2;24.2;80;4.5
2024.0;3.0;22.0;8.0;29.52;29.52;28.52;30.52;2;25.5;80;4.5
2024.0;3.0;22.0;9.0;29.14;29.14;28.14;30.14;2;25.1;80;4.5
2024.0;3.0;22.0;10.0;30.13;30.13;29.13;31.13;2;26.1;80;4.5
2024.0;3.0;22.0;11.0;30.31;30.31;29.31;31.31;2;26.3;80;4.5
2024.0;3.0;22.0;12.0;30.21;30.21;29.21;31.21;2;26.2;80;4.5
2024.0;3.0;22.0;13.0;31.33;31.33;30.33;32.33;2;27.3;80;4.5
2024.0;3.0;22.0;14.0;32.68;32.68;31.68;33.68;2;28.7;80;4.5
2024.0;3.0;22.0;15.0;31.68;31.68;30.68;32.68;2;27.7;80;4.5
2024.0;3.0;22.0;16.0;32.36;32.36;31.36;33.36;2;28.4;80;4.5
2024.0;3.0;22.0;17.0;31.34;31.34;30.34;32.34;2;27.3;80;4.5
2024.0;3.0;22.0;18.0;31.71;31.71;30.71;32.71;2;27.7;80;4.5
2024.0;3.0;22.0;19.0;30.17;30.17;29.17;31.17;2;26.2;80;4.5
2024.0;3.0;22.0;20.0;30.74;30.74;29.74;31.74;2;26.7;80;4.5
2024.0;3.0;22.0;21.0;29.42;29.42;28.42;30.42;2;25.4;80;4.5
2024.0;3.0;22.0;22.0;29.01;29.01;28.01;30.01;2;25.0;80;4.5
2024.0;3.0;22.0;23.0;28.98;28.98;27.98;29.98;2;25.0;80;4.5
2024.0;3.0;22.0;24.0;27.66;27.66;26.66;28.66;2;23.7;80;4.5
2024.0;3.0;23.0;1.0;27.7;27.7;26.70;28.70;2;23.7;80;4.5
2024.0;3.0;23.0;2.0;28.41;28.41;27.41;29.41;2;24.4;80;4.5
2024.0;3.0;23.0;3.0;27.18;27.18;26.18;28.18;2;23.2;80;4.5
2024.0;3.0;23.0;4.0;27.85;27.85;26.85;28.85;2;23.9;80;4.5
2024.0;3.0;23.0;5.0;28.31;28.31;27.31;29.31;2;24.3;80;4.5
2024.0;3.0;23.0;6.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;3.0;23.0;7.0;29.61;29.61;28.61;30.61;2;25.6;80;4.5
2024.0;3.0;23.0;8.0;28.38;28.38;27.38;29.38;2;24.4;80;4.5
2024.0;3.0;23.0;9.0;30.45;30.45;29.45;31.45;2;26.4;80;4.5
2024.0;3.0;23.0;10.0;30.08;30.08;29.08;31.08;2;26.1;80;4.5
2024.0;3.0;23.0;11.0;31.37;31.37;30.37;32.37;2;27.4;80;4.5
2024.0;3.0;23.0;12.0;30.97;30.97;29.97;31.97;2;27.0;80;4.5
2024.0;3.0;23.0;13.0;31.8;31.8;30.80;32.80;2;27.8;80;4.5
2024.0;3.0;23.0;14.0;31.58;31.58;30.58;32.58;2;27.6;80;4.5
2024.0;3.0;23.0;15.0;32.09;32.09;31.09;33.09;2;28.1;80;4.5
2024.0;3.0;23.0;16.0;32.14;32.14;31.14;33.14;2;28.1;80;4.5
2024.0;3.0;23.0;17.0;31.97;31.97;30.97;32.97;2;28.0;80;4.5
2024.0;3.0;23.0;18.0;31.01;31.01;30.01;32.01;2;27.0;80;4.5
2024.0;3.0;23.0;19.0;31.0;31.0;30.00;32.00;2;27.0;80;4.5
2024.0;3.0;23.0;20.0;30.29;30.29;29.29;31.29;2;26.3;80;4.5
2024.0;3.0;23.0;21.0;30.68;30.68;29.68;31.68;2;26.7;80;4.5
2024.0;3.0;23.0;22.0;29.51;29.51;28.51;30.51;2;25.5;80;4.5
2024.0;3.0;23.0;23.0;27.69;27.69;26.69;28.69;2;23.7;80;4.5
2024.0;3.0;23.0;24.0;27.63;27.63;26.63;28.63;2;23.6;80;4.5
2024.0;3.0;24.0;1.0;28.01;28.01;27.01;29.01;2;24.0;80;4.5
2024.0;3.0;24.0;2.0;28.13;28.13;27.13;29.13;2;24.1;80;4.5
2024.0;3.0;24.0;3.0;27.36;27.36;26.36;28.36;2;23.4;80;4.5
2024.0;3.0;24.0;4.0;27.86;27.86;26.86;28.86;2;23.9;80;4.5
2024.0;3.0;24.0;5.0;27.33;27.33;26.33;28.33;2;23.3;80;4.5
2024.0;3.0;24.0;6.0;27.82;27.82;26.82;28.82;2;23.8;80;4.5
2024.0;3.0;24.0;7.0;28.3;28.3;27.30;29.30;2;24.3;80;4.5
2024.0;3.0;24.0;8.0;28.81;28.81;27.81;29.81;2;24.8;80;4.5
2024.0;3.0;24.0;9.0;29.91;29.91;28.91;30.91;2;25.9;80;4.5
2024.0;3.0;24.0;10.0;30.56;30.56;29.56;31.56;2;26.6;80;4.5
2024.0;3.0;24.0;11.0;30.67;30.67;29.67;31.67;2;26.7;80;4.5
2024.0;3.0;24.0;12.0;30.98;30.98;29.98;31.98;2;27.0;80;4.5
2024.0;3.0;24.0;13.0;31.42;31.42;30.42;32.42;2;27.4;80;4.5
2024.0;3.0;24.0;14.0;31.87;31.87;30.87;32.87;2;27.9;80;4.5
2024.0;3.0;24.0;15.0;32.3;32.3;31.30;33.30;2;28.3;80;4.5
2024.0;3.0;24.0;16.0;32.04;32.04;31.04;33.04;2;28.0;80;4.5
2024.0;3.0;24.0;17.0;30.89;30.89;29.89;31.89;2;26.9;80;4.5
2024.0;3.0;24.0;18.0;31.24;31.24;30.24;32.24;2;27.2;80;4.5
2024.0;3.0;24.0;19.0;30.2;30.2;29.20;31.20;2;26.2;80;4.5
2024.0;3.0;24.0;20.0;30.36;30.36;29.36;31.36;2;26.4;80;4.5
2024.0;3.0;24.0;21.0;30.2;30.2;29.20;31.20;2;26.2;80;4.5
2024.0;3.0;24.0;22.0;29.2;29.2;28.20;30.20;2;25.2;80;4.5
2024.0;3.0;24.0;23.0;29.01;29.01;28.01;30.01;2;25.0;80;4.5
2024.0;3.0;24.0;24.0;28.1;28.1;27.10;29.10;2;24.1;80;4.5
2024.0;3.0;25.0;1.0;27.86;27.86;26.86;28.86;2;23.9;80;4.5
2024.0;3.0;25.0;2.0;27.21;27.21;26.21;28.21;2;23.2;80;4.5
2024.0;3.0;25.0;3.0;27.01;27.01;26.01;28.01;2;23.0;80;4.5
2024.0;3.0;25.0;4.0;27.65;27.65;26.65;28.65;2;23.6;80;4.5
2024.0;3.0;25.0;5.0;28.8;28.8;27.80;29.80;2;24.8;80;4.5
2024.0;3.0;25.0;6.0;27.35;27.35;26.35;28.35;2;23.4;80;4.5
2024.0;3.0;25.0;7.0;27.92;27.92;26.92;28.92;2;23.9;80;4.5
2024.0;3.0;25.0;8.0;28.7;28.7;27.70;29.70;2;24.7;80;4.5
2024.0;3.0;25.0;9.0;28.94;28.94;27.94;29.94;2;24.9;80;4.5
2024.0;3.0;25.0;10.0;29.8;29.8;28.80;30.80;2;25.8;80;4.5
2024.0;3.0;25.0;11.0;30.25;30.25;29.25;31.25;2;26.2;80;4.5
2024.0;3.0;25.0;12.0;31.38;31.38;30.38;32.38;2;27.4;80;4.5
2024.0;3.0;25.0;13.0;31.43;31.43;30.43;32.43;2;27.4;80;4.5
2024.0;3.0;25.0;14.0;31.6;31.6;30.60;32.60;2;27.6;80;4.5
2024.0;3.0;25.0;15.0;30.8;30.8;29.80;31.80;2;26.8;80;4.5
2024.0;3.0;25.0;16.0;31.8;31.8;30.80;32.80;2;27.8;80;4.5
2024.0;3.0;25.0;17.0;29.88;29.88;28.88;30.88;2;25.9;80;4.5
2024.0;3.0;25.0;18.0;30.87;30.87;29.87;31.87;2;26.9;80;4.5
2024.0;3.0;25.0;19.0;30.39;30.39;29.39;31.39;2;26.4;80;4.5
2024.0;3.0;25.0;20.0;30.39;30.39;29.39;31.39;2;26.4;80;4.5
2024.0;3.0;25.0;21.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;3.0;25.0;22.0;29.12;29.12;28.12;30.12;2;25.1;80;4.5
2024.0;3.0;25.0;23.0;29.81;29.81;28.81;30.81;2;25.8;80;4.5
2024.0;3.0;25.0;24.0;27.49;27.49;26.49;28.49;2;23.5;80;4.5
2024.0;3.0;26.0;1.0;28.42;28.42;27.42;29.42;2;24.4;80;4.5
2024.0;3.0;26.0;2.0;28.33;28.33;27.33;29.33;2;24.3;80;4.5
2024.0;3.0;26.0;3.0;27.6;27.6;26.60;28.60;2;23.6;80;4.5
2024.0;3.0;26.0;4.0;28.15;28.15;27.15;29.15;2;24.1;80;4.5
2024.0;3.0;26.0;5.0;26.9;26.9;25.90;27.90;2;22.9;80;4.5
2024.0;3.0;26.0;6.0;28.2;28.2;27.20;29.20;2;24.2;80;4.5
2024.0;3.0;26.0;7.0;28.58;28.58;27.58;29.58;2;24.6;80;4.5
2024.0;3.0;26.0;8.0;29.67;29.67;28.67;30.67;2;25.7;80;4.5
2024.0;3.0;26.0;9.0;29.89;29.89;28.89;30.89;2;25.9;80;4.5
2024.0;3.0;26.0;10.0;29.62;29.62;28.62;30.62;2;25.6;80;4.5
2024.0;3.0;26.0;11.0;31.3;31.3;30.30;32.30;2;27.3;80;4.5
2024.0;3.0;26.0;12.0;30.83;30.83;29.83;31.83;2;26.8;80;4.5
2024.0;3.0;26.0;13.0;32.37;32.37;31.37;33.37;2;28.4;80;4.5
2024.0;3.0;26.0;14.0;32.37;32.37;31.37;33.37;2;28.4;80;4.5
2024.0;3.0;26.0;15.0;31.46;31.46;30.46;32.46;2;27.5;80;4.5
2024.0;3.0;26.0;16.0;31.49;31.49;30.49;32.49;2;27.5;80;4.5
2024.0;3.0;26.0;17.0;31.16;31.16;30.16;32.16;2;27.2;80;4.5
2024.0;3.0;26.0;18.0;32.16;32.16;31.16;33.16;2;28.2;80;4.5
2024.0;3.0;26.0;19.0;31.56;31.56;30.56;32.56;2;27.6;80;4.5
2024.0;3.0;26.0;20.0;30.81;30.81;29.81;31.81;2;26.8;80;4.5
2024.0;3.0;26.0;21.0;29.47;29.47;28.47;30.47;2;25.5;80;4.5
2024.0;3.0;26.0;22.0;28.74;28.74;27.74;29.74;2;24.7;80;4.5
2024.0;3.0;26.0;23.0;27.69;27.69;26.69;28.69;2;23.7;80;4.5
2024.0;3.0;26.0;24.0;28.15;28.15;27.15;29.15;2;24.1;80;4.5
2024.0;3.0;27.0;1.0;28.38;28.38;27.38;29.38;2;24.4;80;4.5
2024.0;3.0;27.0;2.0;27.93;27.93;26.93;28.93;2;23.9;80;4.5
2024.0;3.0;27.0;3.0;27.55;27.55;26.55;28.55;2;23.6;80;4.5
2024.0;3.0;27.0;4.0;28.26;28.26;27.26;29.26;2;24.3;80;4.5
2024.0;3.0;27.0;5.0;27.62;27.62;26.62;28.62;2;23.6;80;4.5
2024.0;3.0;27.0;6.0;28.14;28.14;27.14;29.14;2;24.1;80;4.5
2024.0;3.0;27.0;7.0;29.26;29.26;28.26;30.26;2;25.3;80;4.5
2024.0;3.0;27.0;8.0;28.96;28.96;27.96;29.96;2;25.0;80;4.5
2024.0;3.0;27.0;9.0;29.25;29.25;28.25;30.25;2;25.2;80;4.5
2024.0;3.0;27.0;10.0;30.13;30.13;29.13;31.13;2;26.1;80;4.5
2024.0;3.0;27.0;11.0;31.0;31.0;30.00;32.00;2;27.0;80;4.5
2024.0;3.0;27.0;12.0;31.27;31.27;30.27;32.27;2;27.3;80;4.5
2024.0;3.0;27.0;13.0;31.87;31.87;30.87;32.87;2;27.9;80;4.5
2024.0;3.0;27.0;14.0;31.96;31.96;30.96;32.96;2;28.0;80;4.5
2024.0;3.0;27.0;15.0;32.05;32.05;31.05;33.05;2;28.0;80;4.5
2024.0;3.0;27.0;16.0;31.32;31.32;30.32;32.32;2;27.3;80;4.5
2024.0;3.0;27.0;17.0;31.4;31.4;30.40;32.40;2;27.4;80;4.5
2024.0;3.0;27.0;18.0;31.66;31.66;30.66;32.66;2;27.7;80;4.5
2024.0;3.0;27.0;19.0;30.54;30.54;29.54;31.54;2;26.5;80;4.5
2024.0;3.0;27.0;20.0;30.43;30.43;29.43;31.43;2;26.4;80;4.5
2024.0;3.0;27.0;21.0;30.52;30.52;29.52;31.52;2;26.5;80;4.5
2024.0;3.0;27.0;22.0;29.37;29.37;28.37;30.37;2;25.4;80;4.5
2024.0;3.0;27.0;23.0;28.33;28.33;27.33;29.33;2;24.3;80;4.5
2024.0;3.0;27.0;24.0;27.46;27.46;26.46;28.46;2;23.5;80;4.5
2024.0;3.0;28.0;1.0;28.16;28.16;27.16;29.16;2;24.2;80;4.5
2024.0;3.0;28.0;2.0;27.41;27.41;26.41;28.41;2;23.4;80;4.5
2024.0;3.0;28.0;3.0;27.78;27.78;26.78;28.78;2;23.8;80;4.5
2024.0;3.0;28.0;4.0;27.87;27.87;26.87;28.87;2;23.9;80;4.5
2024.0;3.0;28.0;5.0;27.77;27.77;26.77;28.77;2;23.8;80;4.5
2024.0;3.0;28.0;6.0;28.55;28.55;27.55;29.55;2;24.6;80;4.5
2024.0;3.0;28.0;7.0;28.45;28.45;27.45;29.45;2;24.4;80;4.5
2024.0;3.0;28.0;8.0;29.26;29.26;28.26;30.26;2;25.3;80;4.5
2024.0;3.0;28.0;9.0;29.35;29.35;28.35;30.35;2;25.4;80;4.5
2024.0;3.0;28.0;10.0;30.26;30.26;29.26;31.26;2;26.3;80;4.5
2024.0;3.0;28.0;11.0;30.15;30.15;29.15;31.15;2;26.1;80;4.5
2024.0;3.0;28.0;12.0;30.75;30.75;29.75;31.75;2;26.8;80;4.5
2024.0;3.0;28.0;13.0;31.56;31.56;30.56;32.56;2;27.6;80;4.5
2024.0;3.0;28.0;14.0;31.66;31.66;30.66;32.66;2;27.7;80;4.5
2024.0;3.0;28.0;15.0;31.68;31.68;30.68;32.68;2;27.7;80;4.5
2024.0;3.0;28.0;16.0;32.14;32.14;31.14;33.14;2;28.1;80;4.5
2024.0;3.0;28.0;17.0;32.04;32.04;31.04;33.04;2;28.0;80;4.5
2024.0;3.0;28.0;18.0;31.04;31.04;30.04;32.04;2;27.0;80;4.5
2024.0;3.0;28.0;19.0;30.93;30.93;29.93;31.93;2;26.9;80;4.5
2024.0;3.0;28.0;20.0;29.84;29.84;28.84;30.84;2;25.8;80;4.5
2024.0;3.0;28.0;21.0;29.56;29.56;28.56;30.56;2;25.6;80;4.5
2024.0;3.0;28.0;22.0;29.8;29.8;28.80;30.80;2;25.8;80;4.5
2024.0;3.0;28.0;23.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;3.0;28.0;24.0;28.01;28.01;27.01;29.01;2;24.0;80;4.5
2024.0;3.0;29.0;1.0;28.37;28.37;27.37;29.37;2;24.4;80;4.5
2024.0;3.0;29.0;2.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;3.0;29.0;3.0;27.74;27.74;26.74;28.74;2;23.7;80;4.5
2024.0;3.0;29.0;4.0;27.91;27.91;26.91;28.91;2;23.9;80;4.5
2024.0;3.0;29.0;5.0;28.66;28.66;27.66;29.66;2;24.7;80;4.5
2024.0;3.0;29.0;6.0;27.94;27.94;26.94;28.94;2;23.9;80;4.5
2024.0;3.0;29.0;7.0;29.2;29.2;28.20;30.20;2;25.2;80;4.5
2024.0;3.0;29.0;8.0;28.72;28.72;27.72;29.72;2;24.7;80;4.5
2024.0;3.0;29.0;9.0;29.99;29.99;28.99;30.99;2;26.0;80;4.5
2024.0;3.0;29.0;10.0;29.81;29.81;28.81;30.81;2;25.8;80;4.5
2024.0;3.0;29.0;11.0;31.63;31.63;30.63;32.63;2;27.6;80;4.5
2024.0;3.0;29.0;12.0;31.09;31.09;30.09;32.09;2;27.1;80;4.5
2024.0;3.0;29.0;13.0;31.44;31.44;30.44;32.44;2;27.4;80;4.5
2024.0;3.0;29.0;14.0;31.64;31.64;30.64;32.64;2;27.6;80;4.5
2024.0;3.0;29.0;15.0;31.91;31.91;30.91;32.91;2;27.9;80;4.5
2024.0;3.0;29.0;16.0;32.32;32.32;31.32;33.32;2;28.3;80;4.5
2024.0;3.0;29.0;17.0;30.8;30.8;29.80;31.80;2;26.8;80;4.5
2024.0;3.0;29.0;18.0;30.48;30.48;29.48;31.48;2;26.5;80;4.5
2024.0;3.0;29.0;19.0;30.85;30.85;29.85;31.85;2;26.9;80;4.5
2024.0;3.0;29.0;20.0;30.32;30.32;29.32;31.32;2;26.3;80;4.5
2024.0;3.0;29.0;21.0;29.02;29.02;28.02;30.02;2;25.0;80;4.5
2024.0;3.0;29.0;22.0;28.91;28.91;27.91;29.91;2;24.9;80;4.5
2024.0;3.0;29.0;23.0;29.46;29.46;28.46;30.46;2;25.5;80;4.5
2024.0;3.0;29.0;24.0;28.61;28.61;27.61;29.61;2;24.6;80;4.5
2024.0;3.0;30.0;1.0;28.16;28.16;27.16;29.16;2;24.2;80;4.5
2024.0;3.0;30.0;2.0;27.36;27.36;26.36;28.36;2;23.4;80;4.5
2024.0;3.0;30.0;3.0;28.49;28.49;27.49;29.49;2;24.5;80;4.5
2024.0;3.0;30.0;4.0;29.04;29.04;28.04;30.04;2;25.0;80;4.5
2024.0;3.0;30.0;5.0;27.68;27.68;26.68;28.68;2;23.7;80;4.5
2024.0;3.0;30.0;6.0;28.21;28.21;27.21;29.21;2;24.2;80;4.5
2024.0;3.0;30.0;7.0;28.89;28.89;27.89;29.89;2;24.9;80;4.5
2024.0;3.0;30.0;8.0;29.68;29.68;28.68;30.68;2;25.7;80;4.5
2024.0;3.0;30.0;9.0;30.21;30.21;29.21;31.21;2;26.2;80;4.5
2024.0;3.0;30.0;10.0;30.49;30.49;29.49;31.49;2;26.5;80;4.5
2024.0;3.0;30.0;11.0;30.89;30.89;29.89;31.89;2;26.9;80;4.5
2024.0;3.0;30.0;12.0;31.15;31.15;30.15;32.15;2;27.1;80;4.5
2024.0;3.0;30.0;13.0;32.11;32.11;31.11;33.11;2;28.1;80;4.5
2024.0;3.0;30.0;14.0;30.94;30.94;29.94;31.94;2;26.9;80;4.5
2024.0;3.0;30.0;15.0;31.44;31.44;30.44;32.44;2;27.4;80;4.5
2024.0;3.0;30.0;16.0;31.7;31.7;30.70;32.70;2;27.7;80;4.5
2024.0;3.0;30.0;17.0;31.08;31.08;30.08;32.08;2;27.1;80;4.5
2024.0;3.0;30.0;18.0;30.63;30.63;29.63;31.63;2;26.6;80;4.5
2024.0;3.0;30.0;19.0;31.47;31.47;30.47;32.47;2;27.5;80;4.5
2024.0;3.0;30.0;20.0;29.94;29.94;28.94;30.94;2;25.9;80;4.5
2024.0;3.0;30.0;21.0;29.9;29.9;28.90;30.90;2;25.9;80;4.5
2024.0;3.0;30.0;22.0;28.76;28.76;27.76;29.76;2;24.8;80;4.5
2024.0;3.0;30.0;23.0;29.42;29.42;28.42;30.42;2;25.4;80;4.5
2024.0;3.0;30.0;24.0;28.3;28.3;27.30;29.30;2;24.3;80;4.5
2024.0;3.0;31.0;1.0;27.96;27.96;26.96;28.96;2;24.0;80;4.5
2024.0;3.0;31.0;2.0;27.1;27.1;26.10;28.10;2;23.1;80;4.5
2024.0;3.0;31.0;3.0;27.5;27.5;26.50;28.50;2;23.5;80;4.5
2024.0;3.0;31.0;4.0;27.93;27.93;26.93;28.93;2;23.9;80;4.5
2024.0;3.0;31.0;5.0;28.18;28.18;27.18;29.18;2;24.2;80;4.5
2024.0;3.0;31.0;6.0;27.85;27.85;26.85;28.85;2;23.9;80;4.5
2024.0;3.0;31.0;7.0;28.53;28.53;27.53;29.53;2;24.5;80;4.5
2024.0;3.0;31.0;8.0;29.78;29.78;28.78;30.78;2;25.8;80;4.5
2024.0;3.0;31.0;9.0;29.59;29.59;28.59;30.59;2;25.6;80;4.5
2024.0;3.0;31.0;10.0;30.24;30.24;29.24;31.24;2;26.2;80;4.5
2024.0;3.0;31.0;11.0;31.11;31.11;30.11;32.11;2;27.1;80;4.5
2024.0;3.0;31.0;12.0;29.82;29.82;28.82;30.82;2;25.8;80;4.5
2024.0;3.0;31.0;13.0;31.35;31.35;30.35;32.35;2;27.4;80;4.5
2024.0;3.0;31.0;14.0;32.08;32.08;31.08;33.08;2;28.1;80;4.5
2024.0;3.0;31.0;15.0;31.64;31.64;30.64;32.64;2;27.6;80;4.5
2024.0;3.0;31.0;16.0;31.05;31.05;30.05;32.05;2;27.1;80;4.5
2024.0;3.0;31.0;17.0;32.14;32.14;31.14;33.14;2;28.1;80;4.5
2024.0;3.0;31.0;18.0;31.31;31.31;30.31;32.31;2;27.3;80;4.5
2024.0;3.0;31.0;19.0;30.17;30.17;29.17;31.17;2;26.2;80;4.5
2024.0;3.0;31.0;20.0;29.77;29.77;28.77;30.77;2;25.8;80;4.5
2024.0;3.0;31.0;21.0;28.49;28.49;27.49;29.49;2;24.5;80;4.5
2024.0;3.0;31.0;22.0;29.12;29.12;28.12;30.12;2;25.1;80;4.5
2024.0;3.0;31.0;23.0;28.86;28.86;27.86;29.86;2;24.9;80;4.5
2024.0;3.0;31.0;24.0;28.02;28.02;27.02;29.02;2;24.0;80;4.5
2024.0;4.0;1.0;1.0;28.15;28.15;27.15;29.15;2;24.1;80;4.5
2024.0;4.0;1.0;2.0;27.19;27.19;26.19;28.19;2;23.2;80;4.5
2024.0;4.0;1.0;3.0;29.58;29.58;28.58;30.58;2;25.6;80;4.5
2024.0;4.0;1.0;4.0;29.06;29.06;28.06;30.06;2;25.1;80;4.5
2024.0;4.0;1.0;5.0;28.32;28.32;27.32;29.32;2;24.3;80;4.5
2024.0;4.0;1.0;6.0;29.31;29.31;28.31;30.31;2;25.3;80;4.5
2024.0;4.0;1.0;7.0;30.43;30.43;29.43;31.43;2;26.4;80;4.5
2024.0;4.0;1.0;8.0;30.66;30.66;29.66;31.66;2;26.7;80;4.5
2024.0;4.0;1.0;9.0;30.52;30.52;29.52;31.52;2;26.5;80;4.5
2024.0;4.0;1.0;10.0;30.68;30.68;29.68;31.68;2;26.7;80;4.5
2024.0;4.0;1.0;11.0;31.92;31.92;30.92;32.92;2;27.9;80;4.5
2024.0;4.0;1.0;12.0;31.95;31.95;30.95;32.95;2;27.9;80;4.5
2024.0;4.0;1.0;13.0;33.33;33.33;32.33;34.33;2;29.3;80;4.5
2024.0;4.0;1.0;14.0;31.16;31.16;30.16;32.16;2;27.2;80;4.5
2024.0;4.0;1.0;15.0;32.22;32.22;31.22;33.22;2;28.2;80;4.5
2024.0;4.0;1.0;16.0;32.44;32.44;31.44;33.44;2;28.4;80;4.5
2024.0;4.0;1.0;17.0;32.49;32.49;31.49;33.49;2;28.5;80;4.5
2024.0;4.0;1.0;18.0;32.24;32.24;31.24;33.24;2;28.2;80;4.5
2024.0;4.0;1.0;19.0;30.99;30.99;29.99;31.99;2;27.0;80;4.5
2024.0;4.0;1.0;20.0;30.75;30.75;29.75;31.75;2;26.8;80;4.5
2024.0;4.0;1.0;21.0;31.37;31.37;30.37;32.37;2;27.4;80;4.5
2024.0;4.0;1.0;22.0;29.99;29.99;28.99;30.99;2;26.0;80;4.5
2024.0;4.0;1.0;23.0;29.5;29.5;28.50;30.50;2;25.5;80;4.5
2024.0;4.0;1.0;24.0;28.37;28.37;27.37;29.37;2;24.4;80;4.5
2024.0;4.0;2.0;1.0;28.29;28.29;27.29;29.29;2;24.3;80;4.5
2024.0;4.0;2.0;2.0;28.6;28.6;27.60;29.60;2;24.6;80;4.5
2024.0;4.0;2.0;3.0;28.02;28.02;27.02;29.02;2;24.0;80;4.5
2024.0;4.0;2.0;4.0;29.05;29.05;28.05;30.05;2;25.1;80;4.5
2024.0;4.0;2.0;5.0;28.74;28.74;27.74;29.74;2;24.7;80;4.5
2024.0;4.0;2.0;6.0;28.97;28.97;27.97;29.97;2;25.0;80;4.5
2024.0;4.0;2.0;7.0;30.06;30.06;29.06;31.06;2;26.1;80;4.5
2024.0;4.0;2.0;8.0;30.16;30.16;29.16;31.16;2;26.2;80;4.5
2024.0;4.0;2.0;9.0;30.05;30.05;29.05;31.05;2;26.1;80;4.5
2024.0;4.0;2.0;10.0;30.29;30.29;29.29;31.29;2;26.3;80;4.5
2024.0;4.0;2.0;11.0;31.19;31.19;30.19;32.19;2;27.2;80;4.5
2024.0;4.0;2.0;12.0;31.91;31.91;30.91;32.91;2;27.9;80;4.5
2024.0;4.0;2.0;13.0;31.41;31.41;30.41;32.41;2;27.4;80;4.5
2024.0;4.0;2.0;14.0;31.67;31.67;30.67;32.67;2;27.7;80;4.5
2024.0;4.0;2.0;15.0;33.19;33.19;32.19;34.19;2;29.2;80;4.5
2024.0;4.0;2.0;16.0;32.65;32.65;31.65;33.65;2;28.6;80;4.5
2024.0;4.0;2.0;17.0;31.93;31.93;30.93;32.93;2;27.9;80;4.5
2024.0;4.0;2.0;18.0;31.58;31.58;30.58;32.58;2;27.6;80;4.5
2024.0;4.0;2.0;19.0;30.84;30.84;29.84;31.84;2;26.8;80;4.5
2024.0;4.0;2.0;20.0;30.17;30.17;29.17;31.17;2;26.2;80;4.5
2024.0;4.0;2.0;21.0;30.49;30.49;29.49;31.49;2;26.5;80;4.5
2024.0;4.0;2.0;22.0;30.25;30.25;29.25;31.25;2;26.2;80;4.5
2024.0;4.0;2.0;23.0;28.78;28.78;27.78;29.78;2;24.8;80;4.5
2024.0;4.0;2.0;24.0;28.28;28.28;27.28;29.28;2;24.3;80;4.5
2024.0;4.0;3.0;1.0;27.16;27.16;26.16;28.16;2;23.2;80;4.5
2024.0;4.0;3.0;2.0;28.25;28.25;27.25;29.25;2;24.2;80;4.5
2024.0;4.0;3.0;3.0;28.08;28.08;27.08;29.08;2;24.1;80;4.5
2024.0;4.0;3.0;4.0;28.67;28.67;27.67;29.67;2;24.7;80;4.5
2024.0;4.0;3.0;5.0;27.77;27.77;26.77;28.77;2;23.8;80;4.5
2024.0;4.0;3.0;6.0;29.28;29.28;28.28;30.28;2;25.3;80;4.5
2024.0;4.0;3.0;7.0;28.98;28.98;27.98;29.98;2;25.0;80;4.5
2024.0;4.0;3.0;8.0;29.65;29.65;28.65;30.65;2;25.6;80;4.5
2024.0;4.0;3.0;9.0;29.85;29.85;28.85;30.85;2;25.9;80;4.5
2024.0;4.0;3.0;10.0;31.32;31.32;30.32;32.32;2;27.3;80;4.5
